Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Michael Carpentier,Anthropology,4.0,4.0,1,"I took the class because it sounded interesting, but I didnt really care much about the topic. Turns out I really enjoyed the class. The material is difficult, but he really does work hard to help you get it. He gives lots of feedback on your writing, too."
Michael Koch,English,4.9,3.0,4,"Professor Koch is absolutely fantastic! He's really great at keeping class discussions going in the right direction by asking incisive questions, but is never overbearing. Incredibly positive, constructive comments in private meetings. Excellent readings, and his story-reading voice is second to none. Highly recommended!"
Michael Giebelhausen,Hospitality,3.2,1.7,9,Really good dude. I took his marketing class and it was really nice and super easy. I still learned a lot.
Michael Ashkin,Fine Arts,4.8,1.0,2,"Very encouraging professor, one of the best teachers in the department."
Jim Armstrong,Music,4.3,3.7,6,"Great teacher, Cornell's loss"
Kacie Armstrong,Psychology,5.0,3.0,1,One of the best educators I have ever had. She's very accommodating and makes psychology the most interesting subject you'll ever learn.
Sharon Tennyson,Social Science,3.8,2.3,13,"Do not take anything w Tennyson! Sometimes I doubted if she knew the material at all. Did the bare minimum, she would zoom in whenever she wanted. She made mistakes about basic concepts and yes she is easy but you learn nothing. read off slides and wrote confusing questions in exams. never again"
Sharon Poczter,Economics,3.2,3.2,12,"Difficult Grader, Very vague about assignments and work. Difficult tests with open ended not specific questions. Many long and challenging homeworks. Stay away"
Sharon Ahlers,Engineering,3.9,2.7,7,Very timely and organized just as a lecturer should be. The material is useful and applicable to the real world.
Sharon Sassler,Social Science,2.0,4.6,52,I would never take this class but I had to in order to stay in public policy. i tried to switch majors because of this class. it is impossible to do well. no matter what you do the TAs/professor will find a way to take 20% off your grade for no reason. stay away. 
Philippe Sosoe,Mathematics,4.1,3.6,4,Loved 4740 a great class
Gerald Feigenson,Science,4.6,3.1,40,"AMAZING PROF! I can't imagine having learned biochem from anyone else. Clearly covers difficult concepts, so helpful and welcoming during office hours even just to chat about non biochem related topics. So sad he is retiring from teaching, one of the best!"
Juan Escalona Torres,Linguistics,5.0,3.6,5,"Prof Escalona Torres is amazing! Honestly he might be my favorite professor of all time. I took SPAN 1210 + 1220 with him. He's super caring, he was great at explaining the material, and he really made every class fun. Cannot praise this man enough. So sad that I can't take more classes with him, I think he's at a different university now :("
Brant Torres,English,4.5,2.8,4,"Not the most interesting subject matter, but I enjoyed this class. Discussions were straightforward, assignments were very clearly and returned promptly. Seemed relaxed about teaching a freshman writing seminar, and seemed to treat students with same relaxed approach. Would recommend."
Traci Nathans-Kelly,Communication,1.4,1.0,3,"I recently discovered that 3152 has an Inclusiveness Statement on the course website which apparently course staff need to follow.

She should read that."
Pamela Weisberg-Shapiro,Science,3.0,2.0,3,"She is a caring and nice professor, but not the best professor in terms of teaching. Lectures disorganized, most of grade reliant upon group assignments that are very unclear. You learn the basics and self-explanatory concepts. Not worth taking."
Pamela Meyerhofer,Human Ecology,1.0,3.0,2,"Pamela consistently is distracting from the Professor's lecture, many students find her unapproachable due to her stubborn nature, and I frequently find her explanations to be incorrect. Pamela seems to append rubrics while grading which makes it impossible to properly complete assignments."
Pamela Moulton,Hotel  Restaurant Management,5.0,3.8,11,"I did not read the textbook but would say her lectures are a must-attend. Most amazing professor in terms of clarity when lecturing, and if you pay attention you are very well prepared for the exams esp with all the practice. She may have her quirks & be super strict but at the end of the day is respected. WRITE DOWN ALL NOTES IN CLASS"
Pamela Tolbert,Social Science,3.0,2.1,24,She is amazing !
Julia Chang,Languages,5.0,1.5,2,"Professor Chang is AMAZING. Even if you are not interested in gender studies, you should take this class. Her lectures are not opinionated at all and she allows for class discussion. The TA was amazing too.  "
Derek Chang,History,4.5,2.0,29,"Quite possibly the most fun I've had in a class freshman year, if not ever. Stress is unheard of, as long as you pitch in maybe once a week"
